000010DAVID       IHAAS             A00397801011995PRES    18F240819630 00183300000100000000422000 25, The Crescent;Dublin;D09 F821;IRL               
000020CHRISTINE   LTHOMPSON         B01347610102003MANAGER 18M020219780 09425000000080000000330000 24, Second Avenue;Dublin;H65 WD54;IRL              
000030MICHAEL     AKWAN             C01473805042005MANAGER 20F110519710 09825000000080000000306000 01, Villa Nalchez;Meath;A92 AHZ;IRL                
000050SALLY       BGEYER            E01678917081979MANAGER 16M150919550 08017500000080040000321400 24, Second Avenue;Dublin;D15 TC90;IRL
000060JOHN        FSTERN            D11642314092003MANAGER 16M070719750 07225000000050000000258000 24, Second Avenue;Offaly;D09 VK51;IRL
000070IRVING      DPULASKI          D21783130092005MANAGER 16F260520030 09617000000070030000289300 80, Middle Avenue;Dublin;W91 F634;IRL
000090EVA         WHENDERSON        E11549815082000MANAGER 16F150519710 08975000000060000000238000 50, Arbor Road;Meath;D01 W2C9;IRL
000100EILEEN      QSPENSER          E21097219062000MANAGER 14M181219800 08615000000050020000209200 80, Middle Avenue;Clare;W91 AD76;IRL
000110THEODORE    GLUCCHESSI        A00349016051988SALESREP19M051119590 06650000000090000000372000 25, Fernhill Road;Offaly;D20 VP26;IRL
000120SEAN         O'CONNELL        A00216705121993CLERK   14M181019720 04925000000060000000234000 10, Middlefield Road;Offaly;D03 YH36;IRL
000130DELORES     MQUINTANA         C01457828072001ANALYST 16F150919550 07380000000050040000190400 21, Euclid Avenue.;Clare;K78 Y0F1;IRL
000140HEATHER     ANICHOLLS         C01179315122006ANALYST 18F190119760 06842000000060040000227400 10, Middlefield Road;Galway;D17 Y738;IRL
000150BRUCE        ADAMSON          D11451012022002DESIGNER16M170519770 05528000000050020000202200 39, Marine Parkway.;Clare;R14 EH50;IRL
000160ELIZABETH   RPIANKA           D11378211102006DESIGNER17F120419800 06225000000040000000178000 66, Veterans Blvd.;Tipperary;E91 A7D8;IRL
000170MASATOSHI   JYOSHIMURA        D11289015091999DESIGNER16M050119810 04468000000050040000197400 15, Valencia Street;Meath;D12 K303;IRL
000180MARILYN     SSCOUTTEN         D11168207072003DESIGNER17F210219790 05134000000050070000170700 11, South Bernardo;Meath;D11 AY91;IRL
000190JAMES       HWALKER           D11298626072004DESIGNER16M250619820 05045000000040060000163600 40, South Spruce Avenue;Meath;D18 KX28;IRL
000200DAVID        BROWN            D11450103032002DESIGNER16M290519710 05774000000060070000221700 11, Fifth Avenue;Dublin;D12 VY8A;IRL
000210WILLIAM     TJONES            D11942211041998DESIGNER17M230220030 06827000000040020000146200 19, West 39th Avenue;Meath;H91 K526;IRL
000220JENNIFER    KLUTZ             D11672029081998DESIGNER18F190319780 04984000000060070000238700 12, El Camino Real;Galway;D18 KX28;IRL
000230JAMES       JJEFFERSON        D21209421111996CLERK   14M300519800 04218000000040040000177400 20, Avenue ;Dublin;A94 EK75;IRL
000240SALVATORE   MMARINO           D21378005122004CLERK   17M310320020 04876000000060010000230100 25, The Crescent;Dublin;D09 F821;IRL 
000250DANIEL      SSMITH            D21961030101999CLERK   15M121119690 04918000000040040000153400 26, Second Avenue;Dublin;H65 WD54;IRL
000260SYBIL       PJOHNSON          D21895311092005CLERK   16F051019760 04725000000030000000138000 27, Second Avenue;Dublin;D15 TC90;IRL
000270MARIA       LPEREZ            D21900130092006CLERK   15F260520030 03738000000050000000219000 80, Middle Avenue;Dublin;W91 F634;IRL
000280ETHEL       RSCHNEIDER        E11899724031997OPERATOR17F280319760 03625000000050000000210000 50, Arbor Road;Meath;D01 W2C9;IRL
000290JOHN        RPARKER           E11450230052006OPERATOR12M090719850 03534000000030070000122700 39, Marine Parkway.;Clare;R14 EH50;IRL
000300PHILIP      XSMITH            E11209519062002OPERATOR14M271019760 03775000000040000000142000 66, Veterans Blvd.;Tipperary;E91 A7D8;IRL
000310MAUDE       FSETRIGHT         E11333212091994OPERATOR12F210419610 03590000000030020000127200 15, Valencia Street;Meath;D12 K303;IRL
000320RAMLAL      TMEHTA            E21999007071995FIELDREP16M110819620 03995000000040060000159600 18, South Bernardo;Meath;D11 AY91;IRL        
